,cubeid,cubeidpub,cubename,catid,pa_stelkin,pa_stelkin_err,sigma_re,sigma_re_err,sigma_3kpc_round,sigma_3kpc_round_err,sigma_1_4_arcsecond,sigma_1_4_arcsecond_err,sigma_2_arcsecond,sigma_2_arcsecond_err,sigma_3_arcsecond,sigma_3_arcsecond_err,sigma_4_arcsecond,sigma_4_arcsecond_err,aper_corr_flag,rmax_aper_corr,lambdar_re,lambdar_re_err,lambdar_max,lambdar_max_err,vsigma_re,vsigma_re_err,vsigma_max,vsigma_max_err,mean_k51_re,mean_k51_re_err,sigma_re_mge,sigma_re_mge_err,aper_corr_flag_mge,rmax_aper_corr_mge,lambdar_re_mge,lambdar_re_mge_err,lambdar_max_mge,lambdar_max_mge_err,vsigma_re_mge,vsigma_re_mge_err,vsigma_max_mge,vsigma_max_mge_err,mean_k51_re_mge,mean_k51_re_mge_err
1034,230837_blue_red_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25,230837_A,230837_blue_7_Y14SAR1_P001_12T041_2015_02_16-2015_02_25.fits,230837,75.0,29.916666,35.337597,4.1018133,37.170742,3.4936974,nan,nan,nan,nan,40.547752,3.3146203,40.607746,3.1500509,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.113956,3.311245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1035,230880_blue_red_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25,230880_A,230880_blue_6_Y14SAR1_P006_12T046_2015_02_16-2015_02_25.fits,230880,1.5,3.0833313,69.02742,1.2740554,69.103134,1.296284,67.51235,2.8778994,70.323524,2.0331337,69.31819,1.4384587,69.37142,1.2687153,0.0,1.0,0.26315624,0.011834358,nan,nan,0.2880961,0.012494088,nan,nan,0.12023037,0.02838714,68.99681,1.1964998,0.0,1.0,0.24560091,0.0118079325,nan,nan,0.26526105,0.012206876,nan,nan,0.12023037,0.02838714
1036,230884_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02,230884_A,230884_blue_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02.fits,230884,197.0,17.999998,nan,nan,nan,nan,nan,nan,35.391087,9.534879,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1037,230898_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20,230898_A,230898_blue_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20.fits,230898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1038,230901_blue_red_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02,230901_A,230901_blue_11_Y14SAR3_P007_12T058_2017_03_24-2017_04_02.fits,230901,197.5,10.666665,nan,nan,52.521015,6.2598658,nan,nan,53.479748,8.301479,50.259632,6.735448,45.427788,5.377541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1039,231024_blue_red_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20,231024_A,231024_blue_7_Y15SAR4_P001_12T091_2015_05_14-2015_05_20.fits,231024,126.0,2.0,nan,nan,56.687046,2.9229474,65.48608,7.787657,59.271046,4.4481645,54.244694,3.273672,57.211132,2.9828804,1.0,0.32167977,0.68283075,0.03929698,0.38175765,0.03929698,0.89181185,0.041620538,0.43154338,0.041620538,nan,nan,nan,nan,1.0,0.3271008,0.6325873,0.037399266,0.34314114,0.037399266,0.9140046,0.046612095,0.4470382,0.046612095,nan,nan
1040,231528_blue_red_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19,231528_A,231528_blue_7_Y18SAR3_P001_12T125_2018_04_09-2018_04_19.fits,231528,88.0,2.4166667,nan,nan,203.69797,2.893839,208.40637,3.6914384,203.69797,2.739617,202.66003,2.4310617,203.40472,2.322092,1.0,0.39126006,0.60225093,0.011413331,0.3583718,0.011413331,0.68916744,0.011948422,0.37800947,0.011948422,0.03676226,0.011362458,199.9645,2.5124898,0.0,1.0,0.3273451,0.01106857,nan,nan,0.34030318,0.011466669,nan,nan,0.03676226,0.011362458
1041,237990_blue_red_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12,237990_A,237990_blue_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12.fits,237990,186.5,29.83333,36.03801,7.0357003,35.00785,7.535014,nan,nan,nan,nan,40.526882,7.9394455,40.974556,7.9728312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1042,238072_blue_red_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12,238072_A,238072_blue_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12.fits,238072,358.5,29.5,nan,nan,51.59102,4.207912,71.51359,8.0756,65.783356,5.9114227,56.068672,4.914499,52.58448,3.775753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1043,238080_blue_red_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13,238080_C,238080_blue_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13.fits,238080,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1044,238080_blue_red_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06,238080_A,238080_blue_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06.fits,238080,308.0,29.916666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1045,238080_blue_red_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06,238080_B,238080_blue_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06.fits,238080,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1046,238085_blue_red_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17,238085_A,238085_blue_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17.fits,238085,155.5,29.83333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.67871,5.660801,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1047,238094_blue_red_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12,238094_A,238094_blue_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12.fits,238094,348.5,10.749999,nan,nan,50.892723,3.890954,35.56742,8.068891,48.970757,5.2888746,50.516346,4.1334677,44.501198,3.9443734,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,50.267822,3.78389,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1048,238125_blue_red_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06,238125_A,238125_blue_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06.fits,238125,127.5,1.75,nan,nan,68.70088,3.15855,55.604813,6.5855756,56.306595,4.7588897,63.017395,3.6370738,64.125916,3.1626365,1.0,0.86373544,0.5837797,0.016395804,0.5432428,0.016395804,0.75959975,0.029132813,0.69162154,0.029132813,0.08056252,0.008711877,nan,nan,1.0,0.9372813,0.56232095,0.01532239,0.54441875,0.01532239,0.7246936,0.026389517,0.69526637,0.026389517,0.08056252,0.008711877
1049,238125_blue_red_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06,238125_B,238125_blue_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06.fits,238125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1050,238125_blue_red_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13,238125_C,238125_blue_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13.fits,238125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1051,238131_blue_red_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12,238131_A,238131_blue_7_Y14SAR3_P006_15T081_2016_04_04-2016_04_12.fits,238131,112.0,29.249998,46.019108,3.2004452,48.702343,3.2229986,43.64184,7.6488338,43.598427,4.161329,51.07333,3.1917856,47.99501,3.3518462,1.0,0.8056324,0.23446299,0.046561148,0.2021665,0.046561148,0.26219875,0.051426385,0.22832751,0.051426385,0.39414233,0.32961217,50.044823,3.3624194,1.0,0.94015616,0.22750656,0.043505173,0.2181,0.043505173,0.25515863,0.041949105,0.24527782,0.041949105,0.39414233,0.32961217
1052,238164_blue_red_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17,238164_A,238164_blue_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17.fits,238164,40.5,29.916666,43.806934,8.668144,39.64938,9.048212,nan,nan,nan,nan,nan,nan,35.800205,9.2159395,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.85383,8.679191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1053,238203_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16,238203_A,238203_blue_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16.fits,238203,228.5,10.25,75.98227,2.5971987,77.50027,2.272214,70.1358,3.62955,76.599236,2.7584383,77.394424,2.2809072,77.078476,2.3349676,0.0,1.0,0.20281038,0.026187863,nan,nan,0.22687171,0.0285828,nan,nan,0.13860308,0.08218016,76.594666,2.3405619,0.0,1.0,0.11322481,0.024726866,nan,nan,0.12857558,0.023012755,nan,nan,0.13860308,0.08218016
1054,238204_blue_red_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17,238204_A,238204_blue_9_Y13SAR1_P001_15T001_2013_03_05-2013_03_17.fits,238204,338.0,1.75,163.71385,2.4577274,151.549,2.7560964,143.31956,4.100717,148.68571,2.8783062,151.5708,2.3342476,155.33693,2.396866,0.0,1.0,0.4186095,0.0113557605,nan,nan,0.51360625,0.014153939,nan,nan,0.03948774,0.011085293,157.8698,1.9675341,0.0,1.0,0.37068406,0.011764196,nan,nan,0.4403424,0.013483383,nan,nan,0.03948774,0.011085293
1055,238211_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16,238211_A,238211_blue_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16.fits,238211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1056,238212_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05,238212_A,238212_blue_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05.fits,238212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1057,238213_blue_red_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22,238213_A,238213_blue_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22.fits,238213,197.5,1.4166666,nan,nan,178.34457,1.7140418,183.54022,2.4681756,179.99142,1.9439995,179.13737,1.6499411,177.09628,1.5593246,1.0,0.88501596,0.44059142,0.0076420996,0.40996665,0.0076420996,0.4470624,0.007913654,0.41344416,0.007913654,0.041599534,0.007621586,nan,nan,1.0,0.9181099,0.4258854,0.007754247,0.4047482,0.007754247,0.43720856,0.008052009,0.41394368,0.008052009,0.041599534,0.007621586
1058,238214_blue_red_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06,238214_B,238214_blue_6_Y14SAR2_P001_15T061_2014_04_02-2014_04_06.fits,238214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1059,238214_blue_red_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06,238214_A,238214_blue_15_Y14SAR2_P001_15T061_2014_04_02-2014_04_06.fits,238214,197.5,29.916666,80.27253,1.808933,78.70341,1.647656,81.81504,2.812394,79.69247,1.9036998,79.20244,1.7024446,76.955345,1.7145756,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,80.27253,1.9066192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1060,238214_blue_red_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13,238214_C,238214_blue_9_Y14SAR2_P001_15T061_2016_03_03-2016_03_13.fits,238214,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1061,238216_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17,238216_A,238216_blue_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17.fits,238216,22.5,7.833332,91.860016,5.2032223,72.852356,5.8293686,63.009995,6.6282034,66.12007,7.343595,75.10274,5.287156,76.96617,5.061386,1.0,0.73401093,0.63844067,0.056507446,0.55311984,0.056507446,0.87800753,0.10989753,0.7203571,0.10989753,0.081345744,0.020532884,73.42281,5.3474445,1.0,0.73131394,0.590087,0.059713013,0.50395554,0.059713013,0.7792713,0.099376455,0.637845,0.099376455,0.081345744,0.020532884
1062,238221_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17,238221_A,238221_blue_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17.fits,238221,144.0,4.9166665,90.94028,3.8483412,74.75194,3.9416664,68.812386,6.7123117,70.77184,5.042131,74.00731,4.0975533,77.41837,3.7597246,1.0,0.9408056,0.5508919,0.0303521,0.53407425,0.0303521,0.7850256,0.05345226,0.7549597,0.05345226,0.05589196,0.012428167,80.68442,3.3371696,1.0,0.85129625,0.5655773,0.031376056,0.5212196,0.031376056,0.7946081,0.047887962,0.71681094,0.047887962,0.05589196,0.012428167
1063,238276_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16,238276_A,238276_blue_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16.fits,238276,10.0,1.0,155.65598,1.0420979,153.79634,1.3256775,156.20348,2.0944262,153.1793,1.4775501,153.5826,1.0888274,154.79486,1.1828123,0.0,1.0,0.2617024,0.0072800037,nan,nan,0.29803133,0.0076172496,nan,nan,0.028296601,0.0105161,153.77463,1.2280236,0.0,1.0,0.23716871,0.006487258,nan,nan,0.27216434,0.006728462,nan,nan,0.028296601,0.0105161
1064,238282_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16,238282_A,238282_blue_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16.fits,238282,213.0,0.8333333,150.32991,1.658663,139.47124,1.4344736,140.25401,2.5192823,139.4846,1.7338684,139.3619,1.4869246,138.91998,1.4014951,0.0,1.0,0.45524842,0.008400737,nan,nan,0.55186665,0.010638372,nan,nan,0.046065465,0.009839409,143.08147,1.3030337,0.0,1.0,0.37874153,0.008332518,nan,nan,0.44231296,0.009734539,nan,nan,0.046065465,0.009839409
1065,238325_blue_red_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22,238325_A,238325_blue_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22.fits,238325,268.5,1.8333334,97.51899,1.5672694,95.54488,1.5355259,92.39773,2.1000109,94.66063,1.5578007,95.95741,1.5408126,95.382,1.4246923,0.0,1.0,0.48656866,0.013608346,nan,nan,0.56401587,0.017354691,nan,nan,0.036684953,0.010413427,97.539665,1.6395127,0.0,1.0,0.40010437,0.012734799,nan,nan,0.43796584,0.014893681,nan,nan,0.036684953,0.010413427
1066,238328_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17,238328_A,238328_blue_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17.fits,238328,320.0,14.916664,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1067,238350_blue_red_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22,238350_A,238350_blue_7_Y17SAR2_P004_15T120_2018_03_12-2018_03_22.fits,238350,86.0,0.8333333,nan,nan,165.26479,1.1645461,166.65439,1.6498897,165.69806,1.3903824,165.75432,1.3607105,165.32736,1.108662,1.0,0.6298528,0.45489037,0.006005614,0.3438568,0.006005614,0.48533458,0.005495946,0.3610391,0.005495946,0.060164884,0.0061817267,163.44879,1.3437902,0.0,1.0,0.30765238,0.0057434035,nan,nan,0.33569443,0.0052270354,nan,nan,0.060164884,0.0061817267
1068,238351_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17,238351_A,238351_blue_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17.fits,238351,2.0,7.833332,82.13768,4.1195416,87.15549,3.9206107,89.45827,7.892274,88.728516,4.887267,86.67985,3.8967612,80.360176,4.0240335,0.0,1.0,0.28580797,0.04139938,nan,nan,0.30920288,0.043535274,nan,nan,0.07762827,0.030144544,78.83367,3.6252868,0.0,1.0,0.3650584,0.036762446,nan,nan,0.4233785,0.044949565,nan,nan,0.07762827,0.030144544
1069,238358_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16,238358_A,238358_blue_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16.fits,238358,122.0,0.5833333,nan,nan,144.95905,2.5396514,147.98772,3.7677534,147.81152,3.2913537,145.14531,2.6986432,141.49522,2.1141474,1.0,0.9378068,0.6083158,0.0057790414,0.5905628,0.0057790414,0.766199,0.008430278,0.7353501,0.008430278,0.02730736,0.005196402,146.52544,1.6562499,0.0,1.0,0.54816455,0.0055804304,nan,nan,0.6432402,0.0077899923,nan,nan,0.02730736,0.005196402
1070,238360_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17,238360_A,238360_blue_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17.fits,238360,47.5,3.75,91.55884,4.360754,71.809265,4.0350103,72.49842,5.991314,73.4363,4.774106,72.54066,4.061696,73.55769,3.8079062,1.0,0.897282,0.6107303,0.03483661,0.58075047,0.03483661,0.94547766,0.06875587,0.8821162,0.06875587,0.034127466,0.011078944,78.88672,3.8617651,0.0,1.0,0.5921954,0.031425133,nan,nan,0.88750494,0.06301411,nan,nan,0.034127466,0.011078944
1071,238369_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05,238369_A,238369_blue_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05.fits,238369,12.5,6.499998,95.76618,4.7608786,70.146866,5.0493665,56.86367,7.716211,65.303925,5.6207576,72.20634,4.6640415,81.08768,4.3191247,0.0,1.0,0.50695705,0.039677773,nan,nan,0.6469826,0.06263565,nan,nan,0.07360543,0.019804997,75.24739,4.527698,0.0,1.0,0.4790526,0.035901908,nan,nan,0.6172485,0.054830417,nan,nan,0.07360543,0.019804997
1072,238395_blue_red_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17,238395_A,238395_blue_10_Y13SAR1_P004_15T002_2013_03_05-2013_03_17.fits,238395,235.0,2.6666667,60.430386,1.7166293,60.505676,1.6203712,53.328053,3.0525296,54.697044,2.6018634,55.41296,1.9508753,59.0148,1.9487041,0.0,1.0,0.2883977,0.015094931,nan,nan,0.33383974,0.017034294,nan,nan,0.10153486,0.018734973,61.36292,1.6350052,0.0,1.0,0.29717144,0.014880977,nan,nan,0.34269714,0.01640122,nan,nan,0.10153486,0.018734973
1073,238398_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05,238398_A,238398_blue_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05.fits,238398,183.0,6.416664,75.73874,2.2161522,72.53546,2.648088,69.68166,3.6593943,72.53333,3.3641603,74.11258,2.6674204,75.72511,2.2788746,0.0,1.0,0.24419726,0.027598213,nan,nan,0.278281,0.028662818,nan,nan,0.124577895,0.055169024,73.27665,2.8085659,0.0,1.0,0.18138416,0.032471154,nan,nan,0.21011373,0.0326136,nan,nan,0.124577895,0.055169024
1074,238406_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05,238406_A,238406_blue_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05.fits,238406,28.0,2.6666667,101.33088,3.8127697,86.62235,4.3895802,89.82803,6.951108,85.311874,5.0778217,85.55894,4.3899927,86.50621,4.033933,1.0,0.9358981,0.62644106,0.018816084,0.6082193,0.018816084,0.9110809,0.03881434,0.87325937,0.03881434,0.05587541,0.012102356,95.693306,3.6151237,1.0,0.9418533,0.62900656,0.0179744,0.6125513,0.0179744,0.9262887,0.03779049,0.89144725,0.03779049,0.05587541,0.012102356
1075,238412_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05,238412_A,238412_blue_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05.fits,238412,292.0,1.0833334,309.30145,2.8805737,306.94662,2.6413496,312.76437,3.7539964,310.0546,3.2987275,306.52167,2.1422164,308.08698,2.4697127,0.0,1.0,0.31521222,0.009944605,nan,nan,0.3536569,0.009792906,nan,nan,0.02772024,0.010386188,306.6485,2.8638463,0.0,1.0,0.24626027,0.009404131,nan,nan,0.26752192,0.009008328,nan,nan,0.02772024,0.010386188
1076,238453_blue_red_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05,238453_A,238453_blue_8_Y14SAR2_P005_15T065_2017_02_27-2017_03_05.fits,238453,51.5,2.5833333,148.13976,1.6974112,160.55962,2.2002356,161.96982,3.7320714,163.42996,2.399727,156.30562,2.0062873,152.54555,1.8151683,0.0,1.0,0.15505071,0.009935047,nan,nan,0.15977685,0.008986817,nan,nan,0.09478171,0.037539236,151.65395,1.9368422,0.0,1.0,0.12512344,0.010182024,nan,nan,0.13590175,0.009567377,nan,nan,0.09478171,0.037539236
1077,238458_blue_red_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16,238458_B,238458_blue_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16.fits,238458,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1078,238458_blue_red_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19,238458_A,238458_blue_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19.fits,238458,142.5,5.3333335,242.34717,2.056837,266.07373,2.1399212,272.5487,2.36802,266.07373,2.1686454,262.86667,1.7235656,254.654,1.503669,0.0,1.0,0.09276382,0.005342363,nan,nan,0.09433559,0.00462721,nan,nan,0.25044143,0.05537538,251.89438,1.6210186,0.0,1.0,0.059848126,0.004606575,nan,nan,0.063655436,0.003978433,nan,nan,0.25044143,0.05537538
1079,238496_blue_red_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16,238496_A,238496_blue_7_Y13SAR1_P012_15T012_2013_04_12-2013_04_16.fits,238496,264.0,5.6666665,74.15498,2.6840737,58.31573,3.4712434,58.01363,6.0953255,60.028904,4.0750637,59.94612,2.940757,61.265892,3.2356706,0.0,1.0,0.60607207,0.024439821,nan,nan,0.82515615,0.05515987,nan,nan,0.034420524,0.013794283,59.993427,3.2910302,0.0,1.0,0.54775476,0.028749805,nan,nan,0.7071585,0.05872001,nan,nan,0.034420524,0.013794283
1080,238500_blue_red_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19,238500_A,238500_blue_11_Y17SAR3_P009_15T132_2018_04_09-2018_04_19.fits,238500,65.0,4.25,112.980125,1.4800851,112.410675,1.5057169,121.321335,2.10475,115.01843,1.6331241,111.50521,1.4217834,108.51868,1.3648432,0.0,1.0,0.102713615,0.012263079,nan,nan,0.109483816,0.011542085,nan,nan,nan,nan,114.74254,1.5829849,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1081,238500_blue_red_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16,238500_B,238500_blue_9_Y17SAR3_P009_15T132_2018_05_07-2018_05_16.fits,238500,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1082,238922_blue_red_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22,238922_A,238922_blue_8_Y15SAR3_P002_15T108_2015_04_14-2015_04_22.fits,238922,312.5,0.75,185.24484,1.3810326,183.16782,1.0273633,181.89278,1.2222127,181.62411,1.2461402,181.09116,1.2252405,183.39432,1.2233529,0.0,1.0,0.32164177,0.0030388213,nan,nan,0.337657,0.002993862,nan,nan,0.018580135,0.004955165,183.72144,1.2460961,0.0,1.0,0.29935908,0.0030335654,nan,nan,0.31180486,0.0030173254,nan,nan,0.018580135,0.004955165
1083,239092_blue_red_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20,239092_A,239092_blue_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20.fits,239092,308.0,29.916666,nan,nan,53.032307,3.4069047,49.44588,6.5598006,55.931667,4.3566113,53.973312,3.6806397,53.032307,3.0415814,1.0,0.24608248,0.38165593,0.041507877,0.14879,0.041507877,0.45866808,0.040973894,0.18697786,0.040973894,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1084,239109_blue_red_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20,239109_A,239109_blue_7_Y15SAR4_P002_15T111_2015_05_14-2015_05_20.fits,239109,69.0,0.75,215.4013,2.7369442,196.29082,3.4252365,198.44945,4.3243113,196.29082,3.3494282,189.93172,2.5136247,189.63417,2.2816052,0.0,1.0,0.6053502,0.0060962015,nan,nan,0.7878672,0.010968548,nan,nan,0.025132433,0.0049412902,204.07217,2.2741303,0.0,1.0,0.57655734,0.006493097,nan,nan,0.7344827,0.010885903,nan,nan,0.025132433,0.0049412902
1085,239172_blue_red_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04,239172_A,239172_blue_11_Y14SAR3_P004_15T079_2014_04_24-2014_05_04.fits,239172,nan,nan,nan,nan,99.46478,11.623739,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
